parcel_id,lat,lon,zip,fortified,roof_age_yrs,roof_material,elevation_ft,flood_zone,tree_density,building_height_ft,roof_pitch_deg,historical_wind_mph,historical_rain_in,roof_area_sqft,damage,runoff_volume_gal
1,29.817824767455278,-89.94724863707106,70114,0,32,shingle,10.9788702951017,X,0.20847494521150978,12.611528668862793,24.207078776261064,84.7502092774507,12.082491375230589,2907.8226031276427,0,19699.488871940666
2,29.952659979158977,-90.01602786428967,70112,0,1,metal,12.877277666377449,X,0.6425576604803305,21.001207797913718,16.585615519826725,86.87293647151473,15.180204844753046,2710.863452192229,1,24355.49308679944
3,29.918761858778826,-89.90654065875407,70124,1,1,shingle,15.608295933380225,A,0.34473695270263827,18.313027859136323,12.381085647227682,79.81079387847787,10.52654851207515,2522.7248011555566,0,14889.716510609684
4,29.88334843347109,-90.08833906018003,70125,1,34,metal,6.073237561603603,X,0.5655649070440714,22.93968306499475,32.3428977184848,41.46587948504451,17.42315210597517,2440.3189692958636,0,25164.30705748155
5,29.804588001262022,-90.12848725338321,70116,1,13,shingle,4.9357170781783255,A,0.8917299995124682,32.660451348158844,10.649755647010643,56.097940905051466,11.068478128027271,1334.6794129788702,0,8283.148147594884
6,29.997023484189693,-89.98376758932527,70119,0,16,shingle,7.190015051154965,A,0.41404447037672887,9.943637778882245,42.74357820085747,53.38647119688565,9.757067756051581,2234.761258316105,0,12225.904830865215
7,29.905517439277002,-90.02880201233056,70115,0,14,shingle,6.301178710618138,X,0.6078704267305753,17.74786691291866,35.572648040386795,39.621255235896285,11.13840377750699,1773.027253028179,0,11073.092418957996
8,29.967119771695636,-90.06249407859637,70124,0,25,shingle,12.730931458888694,X,0.7684095526109318,20.60033490227082,38.783836537395096,30.0,22.293897042956626,941.0163000412697,0,11762.880729320072
9,29.993206851113108,-90.17309653256983,70124,0,20,shingle,12.450344710206425,X,0.7061462447951596,33.03120702068621,30.396500668705144,128.55735884098698,11.640576879389746,2035.2372000159874,1,13283.731587531021
10,29.968627278949143,-90.02630613057202,70114,0,28,tile,7.739786919621304,X,0.47452680053664786,8.264562721164994,26.643640000391592,75.43351779346148,11.086014596779826,1955.99629005651,0,11482.86992255097
11,29.939214414969488,-89.98397168395012,70122,0,13,metal,18.57749218933146,AE,0.04872541023289101,21.168640483204168,36.66476426823894,64.33338945256128,3.1100291190765494,1775.1567657379712,0,3267.4791071786813
12,29.990626275801493,-90.20058056719768,70112,1,30,metal,4.12226882805424,X,0.07956190723417822,11.459597434655215,25.87169396952597,82.95657206482322,14.187628886810007,2194.312187708014,1,18425.525679708095
13,29.982297445860183,-90.01339016312723,70125,1,17,shingle,5.308720172591952,X,0.7327280187847618,31.85407442626107,31.935048332446453,60.90928700341033,16.146259152234254,2226.9665043959885,0,20161.189874673124
14,29.98704068511403,-90.08128772995853,70117,0,5,shingle,-5.948836143772034,X,0.3274718213439325,22.323446723118334,30.784928935674934,85.43698578807192,10.243180144977234,1404.2278979479938,0,8064.973852565343
15,29.852005142795417,-90.00276354201462,70117,0,8,shingle,-0.4824541083413054,X,0.17572733820265263,18.26450375714198,33.60132178102352,65.59292609062182,11.946046472564836,2224.3570906239956,0,14899.073569880404
16,29.92755355804044,-90.00724055859101,70130,1,31,shingle,3.839714543714423,AE,0.033659701863195,34.88958087828062,1.7689470229539914,81.86090756864468,9.840045945111713,2527.5151106843036,0,13945.093902385961
17,29.91046098247077,-90.14985476023095,70112,0,19,shingle,-1.3796390065130328,A,0.2668014085313065,23.84262048712072,15.720327963925252,73.69274267407462,6.698058040475171,2351.1947686912263,1,8830.14976140465
18,30.127260645941906,-89.97821311268484,70116,0,26,metal,7.460372273951561,AE,0.2381568020165603,26.85380059668958,17.93535305472612,47.01395460561305,12.166119956071894,2796.2926227853936,0,20134.75563208074
19,29.91122236642604,-90.12083685140853,70130,0,17,shingle,14.01444786227719,X,0.3128271321397158,41.89737076544921,24.121446735852,77.066945464044,7.698141185295985,1211.4510563919157,1,5229.044056751151
20,30.026547806678828,-90.02888075533963,70112,1,29,shingle,3.8362022657508876,AE,0.7601119135615699,30.257529191848036,14.197724042334144,80.84145487572258,10.182411337483007,2444.458237682387,1,13956.091728584654
21,29.850233567107704,-90.07841495775526,70119,0,8,shingle,16.491514888591702,A,0.13469448237333093,16.215572550234263,25.84564247091841,77.21092132637015,12.949757407168303,2604.230828455662,0,18909.1350882536
22,29.927125592380456,-90.02502006263836,70115,0,19,shingle,2.038621265574249,A,0.8483675939651328,24.734555002255927,23.805307243685434,102.96957217005438,14.824402187273373,1696.5207452216168,0,14101.552207974426
23,29.86513579477361,-90.08466746254759,70130,1,27,shingle,7.625578215403752,X,0.3370067139989428,14.096350191966168,32.2227380875145,100.29271585331321,6.886820692118629,3372.6200979861114,0,13023.171372295137
24,29.962676546959152,-90.16886006958666,70116,0,15,shingle,3.494776094087711,X,0.9528000393155868,30.225269451510982,23.5731808018708,83.64209101617426,17.526613778703187,2371.2912011066705,0,23303.087315161974
25,30.05990145097099,-90.13090386696005,70124,1,37,shingle,6.58269157628138,AE,0.349672588843146,28.04677607976263,17.263949472845738,70.92949527296781,9.736037009534906,2433.158658529112,0,13282.60326565011
26,29.897597128767497,-89.99124973056678,70124,0,22,shingle,4.058802123430622,X,0.10142746171485217,4.421687914928555,16.943540037365516,75.55987352904043,17.41499442949516,1829.0188951965924,0,17859.61481563233
27,29.99847292728648,-90.1637601361279,70113,1,15,shingle,8.362924834406584,X,0.8530178551699306,4.662003132779622,28.894305711017854,66.89780644886997,2.5171050945050144,1330.7219338144196,0,1878.1021938966321
28,29.997565615645136,-90.19812145522238,70122,1,13,shingle,12.011707873094517,X,0.8700034949840407,21.654521200493818,20.793007463914773,44.251484053797874,8.025184789180736,2194.6170275894633,0,9875.164570248804
29,29.989517094319112,-90.12277473289845,70116,0,32,metal,13.335609322713559,X,0.5939562397298501,19.220472416889127,29.27983018308672,75.41383464162838,5.49576884361962,2051.9401634110086,0,6674.285832552359
30,29.93752259228905,-90.08736139931133,70130,1,7,shingle,10.800541778874164,X,0.2613484175765256,16.998039034365725,11.006794013781228,65.54811820578252,7.960990468005438,2321.7586636554124,0,10363.697659620337
31,29.94179330848935,-89.90506057757835,70112,1,4,shingle,15.522451980343266,A,0.07831711746723957,31.95857899700117,20.175966465839178,89.61104819672447,11.475402136457731,2398.3922600223405,0,15431.874533210774
32,29.959246024879466,-90.17376009346965,70125,0,28,shingle,8.88256471763173,X,0.6481178296417617,24.253943635004994,31.84188306604311,64.6940622915635,7.297728174434155,2651.7877015418208,0,10850.680878484964
33,29.9635274384574,-90.13700476779287,70118,1,33,metal,7.583404229466045,AE,0.8733709342843928,12.59869150660792,34.028588341133954,95.14317889525793,3.141643747479458,2064.8444826178297,0,3839.334358069836
34,29.960496686718304,-90.03225865514482,70116,0,22,metal,0.3651261287495089,X,0.26733573413205836,10.116547440532091,28.29525175800596,37.55298622297501,11.27905675898447,1811.0336868996196,0,12089.573021446397
35,29.99784010009665,-90.01542572974863,70114,0,27,shingle,10.171559735710275,AE,0.8993513863838041,30.345672538337865,36.453746080446244,57.42914574171742,5.228390149113641,2388.3432164692535,0,7001.567514688513
36,29.94351494146338,-90.13611712563144,70122,0,15,shingle,8.842367516781277,X,0.9992363106294556,26.774892382209675,19.453531992842755,88.46806757549287,12.815811137316736,1688.0228360493702,0,12129.837210184041
37,29.983901688559794,-90.04690230331191,70114,1,6,metal,13.637030136581231,A,0.5159174286431824,41.3840888691169,22.121782956435244,73.1371390602329,17.650626966209362,2399.775786180888,0,25069.314312936363
38,29.969361470937788,-90.02784139167296,70112,0,2,metal,-2.3744765332938016,X,0.08643314882068887,16.289018642753263,38.17419244835622,86.22742405415468,15.683351983822451,1474.061375757814,0,13682.520520336013
39,29.8837952057013,-90.11515478989091,70119,0,2,shingle,5.905489621717031,AE,0.8812176813319054,24.03139502354437,17.57197446602209,94.62087333048117,14.724099504127594,1642.8735032201976,1,13563.239326154846
40,29.896157296129022,-90.12890192450486,70115,0,34,shingle,10.641221320657559,X,0.36066138872029785,25.79973971694905,11.681303002755572,90.58464105270988,6.629125365403924,2431.0848739286703,0,9036.222362280043
41,29.985141605236688,-90.02973795040742,70114,1,25,shingle,8.01223081131977,X,0.18641345682496568,15.586324078025132,26.624828223148796,81.21470701816727,16.638850240855774,1483.2070723037498,1,13837.436999501098
42,29.980165123023106,-90.13002065379366,70118,0,11,shingle,3.085643704195287,X,0.2663990827969306,28.540880839838174,26.158141176050623,73.49585033942685,0.6156516777854684,2026.7600766355401,0,699.6292600927484
43,30.016044310207793,-90.16255364563973,70112,0,36,shingle,12.940024403632748,A,0.8401927005007672,21.434510972996645,19.52058434285057,58.93829150364039,7.073698647745048,2145.8177493262033,0,8510.79135023921
44,29.81700167007585,-90.13569779222148,70117,0,21,metal,2.498885078694979,X,0.6885169662989118,18.34881574828279,43.317941343298116,58.611210744140095,16.009179483400068,2142.6328457109075,1,20301.51665698728
45,29.987923546288155,-90.10054145568341,70113,0,14,metal,3.3510897252216703,A,0.7752431028457671,16.74876311407105,31.229514825925467,68.09413491584762,5.113724388501321,1472.2534633855498,0,4455.860172761706
46,29.806351094036916,-90.03788267564035,70124,0,4,shingle,4.076264305481736,X,0.6026968883289681,22.65705214789213,18.875249559923233,89.36216860403097,2.1819858215289205,1466.003651818401,1,1793.5667016711323
47,29.94772845071283,-90.06545884433277,70113,0,12,metal,16.361256178417555,X,0.7262751567535978,24.655966383837047,27.397064664414355,97.33403840834686,17.758156150433315,2084.284769192911,0,21906.176242673173
48,29.802262554924848,-90.04484485222397,70115,1,29,shingle,2.7212832820784456,A,0.4926730802599012,18.44457250692289,31.909091682191164,86.23941833130446,0.5041930766528999,2884.8264325589703,1,815.5434848594984
49,30.031996914914586,-89.90787684299234,70114,0,5,shingle,2.2745024458746377,A,0.08564820286968444,26.42388023001932,28.001289928782537,92.70390323470147,15.018427941588161,1227.1824475048772,1,10333.89789487025
